checkpoint,probabilities,benchmark,n,accuracy,ece15,brier_summed,nll,temperature
0,raw,WinoGrande,1000,0.731,0.05107747263656514,0.3225838058461358,0.4834691729529628,1
0,fitted,WinoGrande,1000,0.731,0.045686749906420736,0.320409668374974,0.4815423483879483,1.273257865016053
50,raw,WinoGrande,1000,0.818,0.04602983642868217,0.25256683341035696,0.46824374685601894,1
50,fitted,WinoGrande,1000,0.818,0.06159591805834803,0.2582319194689214,0.40604669820303857,2.3839924475693497
100,raw,WinoGrande,1000,0.822,0.07970393263689601,0.2515205664134277,0.44194376816243713,1
100,fitted,WinoGrande,1000,0.822,0.045786891905123195,0.24442800272648232,0.3884209447810758,2.0155883330892665
150,raw,WinoGrande,1000,0.836,0.07903958395542557,0.2405394856836193,0.46082518578016674,1
150,fitted,WinoGrande,1000,0.836,0.025778563833593695,0.2285309995935759,0.37099420222431767,2.178979953207672
200,raw,WinoGrande,1000,0.833,0.08258077156414582,0.24098827287733518,0.46505626597266647,1
200,fitted,WinoGrande,1000,0.833,0.027837448311200094,0.22764334362237854,0.3695636266620467,2.207568021892729
250,raw,WinoGrande,1000,0.84,0.07112461172706878,0.235780678788818,0.4310148205488794,1
250,fitted,WinoGrande,1000,0.84,0.025162262523204436,0.22645405699179627,0.36648030767785217,2.000758882328426
286,raw,WinoGrande,1000,0.838,0.07305326848575791,0.23715654793549823,0.4466635591782183,1
286,fitted,WinoGrande,1000,0.838,0.025762239793189725,0.22617821427135154,0.3673800163891342,2.0659711424646567
Jev,native,WinoGrande,1000,0.907,0.03018000000000003,0.13947120000000002,0.3865116352668403,
0,raw,Financial PhraseBank,999,0.7567567567567568,0.10986708749136277,0.35993979153397637,0.6710524653362631,1
0,fitted,Financial PhraseBank,999,0.7567567567567568,0.08736885531191985,0.3463601088473037,0.6119437026756008,1.273257865016053
50,raw,Financial PhraseBank,999,0.8118118118118118,0.10691237380734225,0.29766201943619186,0.6095282988074303,1
50,fitted,Financial PhraseBank,999,0.8118118118118118,0.03135272969359834,0.27224442268061094,0.46429921580920347,2.3839924475693497
100,raw,Financial PhraseBank,999,0.8038038038038038,0.08341179844053073,0.2874622514708179,0.47298366546235354,1
100,fitted,Financial PhraseBank,999,0.8038038038038038,0.026479814771298574,0.26857584006489904,0.427075121613603,2.0155883330892665
150,raw,Financial PhraseBank,999,0.8178178178178178,0.1044560106257515,0.2822991862930877,0.5248869140874413,1
150,fitted,Financial PhraseBank,999,0.8178178178178178,0.019336747984456327,0.2518277370767914,0.4068224674339897,2.178979953207672
200,raw,Financial PhraseBank,999,0.8418418418418419,0.07893921466458544,0.23290539861925863,0.4128197697701344,1
200,fitted,Financial PhraseBank,999,0.8418418418418419,0.02179500302658448,0.2163526373571744,0.35597397493809924,2.207568021892729
250,raw,Financial PhraseBank,999,0.8498498498498499,0.06757745214368653,0.22016459460292548,0.3716704660492571,1
250,fitted,Financial PhraseBank,999,0.8498498498498499,0.044118655694072965,0.21302350966399472,0.3522345389593862,2.000758882328426
286,raw,Financial PhraseBank,999,0.8398398398398398,0.07426170718949279,0.2332092620555425,0.3984773938456753,1
