step,loss,learning_rate,examples_seen,group_examples
1,0.30856577040799493,1.4285714285714285e-07,256,256
2,0.24233298594299413,2.857142857142857e-07,512,256
3,0.34500433821267507,4.285714285714285e-07,768,256
4,0.19249218638287857,5.714285714285714e-07,1024,256
5,0.23935657485594675,7.142857142857143e-07,1280,256
6,0.1746226225477585,8.57142857142857e-07,1536,256
7,0.21180692323832773,1e-06,1792,256
8,0.25857679099135567,1.1428571428571428e-06,2048,256
9,0.19704432713820097,1.2857142857142858e-06,2304,256
10,0.16833467061587726,1.4285714285714286e-06,2560,256
11,0.22501186783745197,1.5714285714285712e-06,2816,256
12,0.18343281535467781,1.714285714285714e-06,3072,256
13,0.21308194342418574,1.857142857142857e-06,3328,256
14,0.17522637174396216,2e-06,3584,256
15,0.18389517572709835,1.999939969823106e-06,3840,256
16,0.244277621663481,1.9997598873004737e-06,4096,256
17,0.2101933273110177,1.999459776455182e-06,4352,256
18,0.3007121702239024,1.999039677322135e-06,4608,256
19,0.15222938795924268,1.9984996459427234e-06,4864,256
20,0.2111027408233208,1.997839754357345e-06,5120,256
21,0.19741839442848863,1.997060090595797e-06,5376,256
22,0.16743516026305905,1.996160758665531e-06,5632,256
23,0.1867208687123032,1.9951418785377806e-06,5888,256
24,0.15625057661347252,1.9940035861315548e-06,6144,256
25,0.12165702119895627,1.9927460332955086e-06,6400,256
26,0.163680245500454,1.9913693877876844e-06,6656,256
27,0.16278605207544672,1.9898738332531346e-06,6912,256
28,0.13075617181740062,1.9882595691994206e-06,7168,256
29,0.14121507838899555,1.986526810970004e-06,7424,256
30,0.1755997598943384,1.9846757897155116e-06,7680,256
31,0.20551924591243864,1.9827067523629075e-06,7936,256
32,0.14965558358368902,1.980619961582548e-06,8192,256
33,0.14913818835237236,1.978415695753144e-06,8448,256
34,0.13027847169215787,1.9760942489246236e-06,8704,256
35,0.15976238680946153,1.973655930778906e-06,8960,256
36,0.13660470654068035,1.9711010665885904e-06,9216,256
37,0.20550233157936404,1.968429997173564e-06,9472,256
38,0.11663958900014748,1.9656430788555372e-06,9728,256
39,0.14867413020593645,1.9627406834105087e-06,9984,256
40,0.125100017251774,1.959723198019172e-06,10240,256
41,0.1455102065524677,1.9565910252152645e-06,10496,256
42,0.13392170824753347,1.953344582831869e-06,10752,256
43,0.12922237961068284,1.9499843039456766e-06,11008,256
44,0.1864391205050382,1.946510636819211e-06,11264,256
45,0.16658534602654385,1.942924044841032e-06,11520,256
46,0.16391643124675914,1.93922500646392e-06,11776,256
47,0.12764901293331388,1.9354140151410486e-06,12032,256
48,0.12291686903756727,1.9314915792601582e-06,12288,256
49,0.19097565071015854,1.927458222075737e-06,12544,256
50,0.13409947283924883,1.9233144816392187e-06,12800,256
